time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
22.8,19.7272564632485,311.613729173431,108497.138013324,1105002.86198668,0.0169942760266483,0.0100057239733517,0,0,0,0,0,0,0
23,19.7270742917161,311.612883811543,108497.138040092,1105002.86195991,0.016994276080183,0.010005723919817,0,0,0,0,0,0,0
23.2,19.7269401871088,311.612261501579,108497.138059796,1105002.8619402,0.0169942761195923,0.0100057238804077,0,0,0,0,0,0,0
23.4,19.7268414666597,311.61180339045,108497.138074302,1105002.8619257,0.0169942761486032,0.0100057238513968,0,0,0,0,0,0,0
23.6,19.7267687940561,311.611466153675,108497.13808498,1105002.86191502,0.0169942761699595,0.0100057238300405,0,0,0,0,0,0,0
23.8,19.726715296438,311.611217898097,108497.13809284,1105002.86190716,0.0169942761856809,0.0100057238143191,0,0,0,0,0,0,0
24,19.7266759143929,311.611035145693,108497.138098627,1105002.86190137,0.016994276197254,0.010005723802746,0,0,0,0,0,0,0
24.2,19.7266469234624,311.610900613202,108497.138102887,1105002.86189711,0.0169942762057736,0.0100057237942264,0,0,0,0,0,0,0
24.4,19.7266255819057,311.610801577618,108497.138106023,1105002.86189398,0.0169942762120452,0.0100057237879548,0,0,0,0,0,0,0
24.6,19.7266098714033,311.610728672947,108497.138108331,1105002.86189167,0.0169942762166621,0.0100057237833379,0,0,0,0,0,0,0
24.8,19.7265983061786,311.61067500445,108497.13811003,1105002.86188997,0.0169942762200607,0.0100057237799393,0,0,0,0,0,0,0
25,19.7265897924832,311.610635496589,108497.138111281,1105002.86188872,0.0169942762225627,0.0100057237774373,0,0,0,0,0,0,0
25.2,19.7265835251593,311.610606413027,108497.138112202,1105002.8618878,0.0169942762244044,0.0100057237755956,0,0,0,0,0,0,0
25.4,19.7265789114928,311.610585003272,108497.13811288,1105002.86188712,0.0169942762257603,0.0100057237742397,0,0,0,0,0,0,0
25.6,19.7265755151599,311.610569242563,108497.138113379,1105002.86188662,0.0169942762267583,0.0100057237732417,0,0,0,0,0,0,0
25.8,19.7265730149623,311.610557640376,108497.138113747,1105002.86188625,0.0169942762274931,0.0100057237725069,0,0,0,0,0,0,0
26,19.7265711744514,311.61054909947,108497.138114017,1105002.86188598,0.0169942762280339,0.0100057237719661,0,0,0,0,0,0,0
26.2,19.7265698195663,311.610542812115,108497.138114216,1105002.86188578,0.0169942762284321,0.0100057237715679,0,0,0,0,0,0,0
26.4,19.7265688221728,311.610538183702,108497.138114363,1105002.86188564,0.0169942762287252,0.0100057237712748,0,0,0,0,0,0,0
26.6,19.7265680879453,311.610534776513,108497.13811447,1105002.86188553,0.016994276228941,0.010005723771059,0,0,0,0,0,0,0
26.8,19.7265675474466,311.610532268324,108497.13811455,1105002.86188545,0.0169942762290998,0.0100057237709002,0,0,0,0,0,0,0
27,19.7265671495605,311.61053042193,108497.138114608,1105002.86188539,0.0169942762292167,0.0100057237707833,0,0,0,0,0,0,0
27.2,19.7265668566581,311.610529062714,108497.138114651,1105002.86188535,0.0169942762293028,0.0100057237706972,0,0,0,0,0,0,0
27.4,19.7265666410392,311.610528062133,108497.138114683,1105002.86188532,0.0169942762293662,0.0100057237706338,0,0,0,0,0,0,0
27.6,19.7265664823121,311.610527325559,108497.138114706,1105002.86188529,0.0169942762294128,0.0100057237705872,0,0,0,0,0,0,0
27.8,19.7265663654657,311.610526783332,108497.138114724,1105002.86188528,0.0169942762294472,0.0100057237705528,0,0,0,0,0,0,0
