time,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,C1,C2,C3,C4,C5,C6,Fault_class
30.2,0.0239709767544778,2.9572700723912e-06,2.66000589731189e-06,-5.27187350656016e-05,-5.27187350655686e-05,4.45844960671606,0,0,0,0,0,0,0
30.4,0.0139506026540028,-1.38606503495704e-06,-1.56887834443707e-06,-3.07168674921565e-05,-3.07168674921261e-05,1.81758275639583,0,0,0,0,0,0,0
30.6,0.0112735872814027,-3.25402343693001e-07,-4.70494230666865e-07,-2.47907942007616e-05,-2.47907942007287e-05,2.15923124830634,0,0,0,0,0,0,0
30.8,0.0156012114773628,7.32343301765528e-07,5.35648095431808e-07,-3.42319831544902e-05,-3.42319831544445e-05,3.14836620228368,0,0,0,0,0,0,0
31,0.00113114325265464,-2.11058219076104e-06,-2.13244612773778e-06,-2.63931446588843e-06,-2.63931446588892e-06,0.557568045920725,0,0,0,0,0,0,0
31.2,0.0037658509734125,4.06708428652066e-07,3.59469013225319e-07,-8.34410553528279e-06,-8.34410553523951e-06,1.84517823254278,0,0,0,0,0,0,0
31.4,0.0147459110136195,1.70624963313452e-06,1.52326832573094e-06,-3.2390395880357e-05,-3.23903958803678e-05,3.48115585744122,0,0,0,0,0,0,0
31.6,0.0144229828367065,4.13804497635401e-08,-1.42376491173305e-07,-3.16384012591352e-05,-3.16384012591612e-05,2.82277405886376,0,0,0,0,0,1,0
31.8,0.0118964614103194,-2.97136030483269e-07,-4.49623011519379e-07,-2.6078195379837e-05,-2.60781953798454e-05,2.52530603248146,0,0,0,0,0,0,0
32,-0.0093621982416025,-3.15922786258152e-06,-3.05177767967997e-06,2.01676049230947e-05,2.01676049231199e-05,-0.821218821980185,0,0,0,0,0,0,0
32.2,-0.018325186109872,-1.42697717662827e-06,-1.2004684763937e-06,3.97309954488185e-05,3.973099544888e-05,-1.22817125440768,0,0,0,0,0,0,0
32.4,-0.0342845873828611,-2.53593164114081e-06,-2.11172145862514e-06,7.43364125052795e-05,7.43364125053789e-05,-3.71856013511961,0,0,0,0,0,0,0
32.6,-0.0336716270078919,-1.28804479412598e-07,2.95627060442763e-07,7.30942877458135e-05,7.30942877459466e-05,-3.21088404333161,0,0,0,0,0,0,0
32.8,-0.0191108412488457,2.00270976196399e-06,2.24970479368823e-06,4.1431731175484e-05,4.1431731175643e-05,-1.36672463077051,0,0,0,0,0,0,0
33,-0.0135279144238105,7.2565731586717e-07,8.98422045081113e-07,2.933918846385e-05,2.93391884640032e-05,-1.6675425902206,0,0,0,0,0,0,0
33.2,-0.0194697010613295,-9.92187236325393e-07,-7.49366008218838e-07,4.23064162359114e-05,4.23064162359458e-05,-3.1950166344343,0,0,0,0,0,0,0
33.4,0.0125359130997044,4.79413382954226e-06,4.64630188241682e-06,-2.79850207519791e-05,-2.79850207520257e-05,2.42169606052481,0,0,0,0,0,0,0
33.6,0.00210087538153766,-1.52495675577795e-06,-1.55886771921917e-06,-5.0235324923986e-06,-5.02353249250146e-06,-1.17738369831743,0,0,0,0,0,0,0
